instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
3329,13,ABB,ABB INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE
6401,25,ADANIENT,ADANI ENTERPRISES,0.0,,0.0,0.1,1,EQ,NSE,NSE
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0.0,,0.0,0.5,1,EQ,NSE,NSE
54273,212,ASHOKLEY,ASHOK LEYLAND,0.0,,0.0,0.01,1,EQ,NSE,NSE
56321,220,IEX,INDIAN ENERGY EXC,0.0,,0.0,0.01,1,EQ,NSE,NSE
60417,236,ASIANPAINT,ASIAN PAINTS,0.0,,0.0,0.1,1,EQ,NSE,NSE
70401,275,AUROPHARMA,AUROBINDO PHARMA,0.0,,0.0,0.1,1,EQ,NSE,NSE
79873,312,TIINDIA,TUBE INVEST OF INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE
81153,317,BAJFINANCE,BAJAJ FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE
82945,324,ANGELONE,ANGEL ONE,0.0,,0.0,0.1,1,EQ,NSE,NSE
87553,342,CAMS,COMPUTER AGE MNGT SER,0.0,,0.0,0.1,1,EQ,NSE,NSE
98049,383,BEL,BHARAT ELECTRONICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
108033,422,BHARATFORG,BHARAT FORGE,0.0,,0.0,0.1,1,EQ,NSE,NSE
112129,438,BHEL,BHEL,0.0,,0.0,0.01,1,EQ,NSE,NSE
119553,467,HDFCLIFE,HDFC LIFE INS CO,0.0,,0.0,0.05,1,EQ,NSE,NSE
130305,509,MAZDOCK,MAZAGON DOCK SHIPBUIL,0.0,,0.0,0.1,1,EQ,NSE,NSE
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0.0,,0.0,0.05,1,EQ,NSE,NSE
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0.0,,0.0,0.5,1,EQ,NSE,NSE
173057,676,EXIDEIND,EXIDE INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0.0,,0.0,0.1,1,EQ,NSE,NSE
177665,694,CIPLA,CIPLA,0.0,,0.0,0.1,1,EQ,NSE,NSE
194561,760,CGPOWER,CG POWER AND IND SOL,0.0,,0.0,0.05,1,EQ,NSE,NSE
197633,772,DABUR,DABUR INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
225537,881,DRREDDY,DR. REDDY S LABORATORIES,0.0,,0.0,0.1,1,EQ,NSE,NSE
232961,910,EICHERMOT,EICHER MOTORS,0.0,,0.0,0.5,1,EQ,NSE,NSE
261889,1023,FEDERALBNK,FEDERAL BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE
303361,1185,AMBER,AMBER ENTERPRISES (I),0.0,,0.0,0.5,1,EQ,NSE,NSE
